#,aspect,variante,note_sur_10,retenue,forces,faiblesses,effet_usage
11,"Fantômes LLM & loupe d'injustice CLAUDETTE (overlays, hover, œil)",Loupe sobre à priorité de focus (token-pur + dépliable),9,OUI,"Corrige les 2 faiblesses les plus concrètes : hex en dur et saturation multi-catégories, sans chantier transverse; Conserve l'excellent socle d'accessibilité et de pédagogie déjà en place; Faible risque de régression : périmètre limité aux 3 fichiers + table de tokens",Ne résout pas la dispersion globale des toggles ni la cohabitation des bascules; L'atténuation des overlays voisins demande un signal partagé (état de focus d'overlay) hors des 3 fichiers; Gain de découvrabilité des fantômes LLM nul,"Lecture plus calme : moins de bruit sur clauses chargées (top-N), contraste fiable en clair/sombre, et focus visuel net quand on consulte une injustice — l'annotateur repère la clause à risque plus vite sans être distrait par les fantômes."
11,"Fantômes LLM & loupe d'injustice CLAUDETTE (overlays, hover, œil)","Œil discret + atténuation, sans hub",6,,Densité visuelle permanente la plus basse des trois variantes; Très cohérent avec l'exigence « iconographie subtile / révélation à la demande »; Évite l'empilement injustice + fantômes + rails en lecture courante,"Perte de la vision d'ensemble « carte de chaleur » des clauses injustes (le surlignage permanent aide au scan global); Plus de gestes de survol pour obtenir l'info : risque de sous-découverte des clauses à risque; Change un comportement par défaut établi (surlignage) — coût d'accoutumance, risque de rejet","Lecture très épurée et reposante, mais vitesse de repérage global potentiellement plus lente : il faut survoler pour voir, ce qui charge la mémoire de travail (« ai-je tout vérifié ? ») sur un long document."
12,"Iconographie & équilibre texte / graphique (icônes, lignes, lisibilité, densité)",Système d'icônes unifié + tokens sémantiques (assainissement),8,,"Effort modéré, risque faible : pas de refonte structurelle, surtout du remplacement 1-pour-1 testable; Élimine d'un coup la dette 'deux vérités couleur' et le non-respect du thème clair/sombre; Alignement de baseline et rendu cross-OS garantis ; base saine sur laquelle toute autre amélioration s'appuiera; Gain d'accessibilité immédiat (contraste tokenisé, fin du 9px, aria-label centralisés)",Ne réduit PAS la densité du ClauseChip : les 6 signaux restent tous permanents; N'introduit pas de révélation progressive ; le mur de micro-signaux sur 193 entrées subsiste; Gain perçu par l'annotateur surtout qualitatif (cohérence) plutôt qu'un saut de vitesse,"Réduit le 'bruit de friture' visuel (glyphes mal alignés, deux verts différents pour 'validé') : l'œil arrête de buter sur des incohérences, lecture marginalement plus fluide et fiable en thème clair. Effet sur la vitesse brute faible, sur la fiabilité de lecture et la confiance élevé."
12,"Iconographie & équilibre texte / graphique (icônes, lignes, lisibilité, densité)",Densité progressive : chip à signaux révélés à la demande,9,OUI,"Attaque la VRAIE douleur : la sur-densité du plan long et la charge cognitive de scan; Révélation progressive conforme aux exigences : détails à la demande, pas de pollution permanente; Toggle densité = chacun règle son confort ; le confort par défaut protège les nouveaux annotateurs; Scan vertical nettement accéléré : 2-3 signaux stables au lieu de 6 micro-éléments","Risque ergonomique : masquer l'index d'ancre ou la provenance peut gêner l'annotateur expert qui s'en sert pour se repérer rapidement; Effort plus élevé : nouvelle logique d'état (densité), survols, et tests de non-régression d'accessibilité (le sens caché doit rester atteignable au clavier); Le survol comme porteur d'info secondaire est moins découvrable et inutilisable au tactile sans équivalent long-press","Sur un document de 193 phrases, le plan passe d'un mur saturé à une liste calme et scannable : repérage de la prochaine phrase à valider et distinction validé/à-valider beaucoup plus rapides. Baisse nette de la fatigue oculaire sur sessions longues ; léger coût d'apprentissage pour retrouver les détails masqués."
12,"Iconographie & équilibre texte / graphique (icônes, lignes, lisibilité, densité)",Statut par forme + couleur (encodage redondant renforcé),6,,Meilleure accessibilité possible : information lisible en niveaux de gris / vision déficiente couleur; Décodage 'à la silhouette' très rapide une fois la grammaire apprise (pré-attentif); Réduit la pression sur la palette couleur (moins besoin de teintes distinctes et risquées),"Grammaire de formes à apprendre : courbe d'apprentissage réelle pour les nouveaux, contre-intuitif au départ; Risque d'AJOUTER du graphique (formes + icône + couleur) si mal dosé, à rebours de l'objectif 'subtil' et de la réduction de densité; Effort de design et de tests élevé ; difficile à rendre net à 11px sans flou des micro-formes; Ne traite pas en soi le foisonnement de tailles typo ni le nombre de signaux permanents","Pour un annotateur daltonien, gain décisif : il distingue enfin validé/à-valider/LLM sans deviner. Pour les autres, lecture pré-attentive un peu plus rapide après apprentissage, mais risque de surcharge si les formes s'ajoutent aux signaux existants au lieu de les remplacer."
13,"Couleurs, contraste & accessibilité (tokens sémantiques, WCAG AA)","Verrouillage strict des tokens sémantiques (zéro hex, CI de garde)",8,OUI,"Coût/risque faible, gains immédiats : règle des douleurs réelles déjà documentées sans refonte visuelle.; L'AA devient une propriété PROUVÉE et non plus déclarée, sur les deux thèmes et même pour les schémas tiers.; Une seule 'vérité' couleur par sens : fin des emerald-400 vs --sem-success.; S'appuie sur l'infra existante (canaux RGB, readableTextColor) — zéro dette nouvelle.","Ne clarifie pas conceptuellement la frontière métier/état (corrige les symptômes, pas la taxonomie).; N'améliore pas la révélation progressive ni la sur-densité de ClauseChip (6 signaux superposés).; Travail surtout invisible pour l'annotateur (valeur perçue faible à court terme).","Effet indirect mais réel : couleurs cohérentes et contrastées sur les deux thèmes → moins d'hésitation et d'erreurs de lecture des statuts/validation, moins de fatigue oculaire sur longue session. Aucune charge cognitive nouvelle, aucune ré-éducation."
13,"Couleurs, contraste & accessibilité (tokens sémantiques, WCAG AA)",Taxonomie couleur unifiée + double codage systématique (palette parlée),7,,"Élimine l'ambiguïté de sens à la racine : un développeur ne peut plus confondre 'vert métier' et 'succès'.; Accessibilité réelle (daltonisme, faible vision) : le sens ne dépend jamais de la seule teinte.; Iconographie enfin formalisée au niveau du design system (slot icône, tailles), comblant un manque identifié.; Hiérarchie visuelle plus nette (accent d'interaction distinct des signaux métier — fin des 'deux bleus proches').","Chantier plus large : touche tokens, ClauseChip, overlays, provenance, certitude — risque de régressions croisées.; Introduire des glyphes partout peut, mal dosé, AJOUTER du bruit (déjà 6 signaux sur ClauseChip).; Nécessite un travail de design d'icônes (set cohérent) non trivial.","Scan plus rapide et plus sûr : la forme/glyphe confirme la couleur, donc décision instantanée même en vision périphérique ou daltonienne. Risque inverse si l'iconographie est trop dense → discipline de sobriété indispensable, sinon charge cognitive en hausse en ToC à forte volumétrie."
13,"Couleurs, contraste & accessibilité (tokens sémantiques, WCAG AA)",Tokens adaptatifs auto-contrastés + révélation progressive de la densité,7,,"AA garanti by-design même pour des couleurs imprévues (vrai filet pour la généricité H4/setRuntimeThemes).; Réduit drastiquement le bruit en ToC/plan à forte volumétrie : détails à la demande, pas en permanence.; Aligne l'opacité graduée (déjà présente dans ClauseChip) sur des tokens au lieu de valeurs en dur.; Très bon ROI cognitif sur longs documents (193 entrées).","Le plus ambitieux/risqué : un clamp de luminance peut altérer la teinte voulue du schéma (fidélité vs lisibilité — arbitrage à régler).; La révélation au survol cache des infos parfois utiles en scan rapide (provenance non validée) → besoin d'un mode 'tout afficher'.; Complexité d'implémentation et de test la plus élevée des trois.; Sur tactile, le survol disparaît : il faut un équivalent focus/long-press fiable.","Sur long document, scan nettement allégé : le plan respire, l'œil n'est sollicité que par l'essentiel et creuse à la demande. AA jamais cassé quel que soit le corpus = confiance. Mais l'info masquée au repos peut ralentir l'annotateur expert qui s'appuyait sur la provenance toujours visible — d'où le mode 'densité' opt-in."
14,"Rapidité d'usage (raccourcis, curseur collant, opérations par lot, flux d'annotation)",Mode rafale clavier-first (registre unifié + valider-suivant),9,OUI,"Attaque la faiblesse #1 (geste valider+suivant absent du clavier) avec le ROI le plus direct sur le débit; Une seule source de vérité raccourcis → fin du doublon B/T et cohérence tooltips/modale/code; S'appuie sur l'existant (curseur collant QuickActionRail, moveFocus bornée) sans réécrire les flux; Découvrabilité réglée par la modale '?' et les hints kbd, en révélation progressive","Ne traite pas directement les opérations par lot (gain surtout phrase-à-phrase); Plus de raccourcis = plus de risque de collisions/mémorisation ; exige une discipline de garde isEditable rigoureuse; Le bandeau rafale, mal calibré, peut devenir du bruit permanent s'il n'est pas strictement on-demand","Une phrase passe de ~3-4 interactions souris (focus→thème→valider→clic suivant) à 2-3 frappes sans quitter le clavier. Sur 193 phrases, économie de centaines de micro-déplacements de souris ; charge cognitive réduite car le geste devient un réflexe musculaire unique."
14,"Rapidité d'usage (raccourcis, curseur collant, opérations par lot, flux d'annotation)",Atelier de lot clavier (sélection large → application en un geste),7,,Exploite l'atout sous-utilisé : lots déjà atomiques (1 snapshot) mais inaccessibles sans souris; Gain maximal sur les documents à longues séries homogènes (pré-remplissage LLM déplié 1 clause/phrase); SelectionTools est déjà propre côté tokens/aria : socle solide à étendre; aria-live rend l'effet de masse perceptible et sûr (accessibilité + confiance),"Préfixe s + lettre = chord à apprendre, moins immédiat qu'une touche unique; Risque d'erreur de masse (valider/annoter trop large) ; dépend fortement de undo et d'un feedback clair; N'améliore pas le cas phrase-à-phrase isolé, fréquent en annotation fine","Annoter/valider un segment de 15 phrases passe de 15 clics à ~2 frappes (sélection + application), avec confirmation vocale du nombre traité. Débit fortement accru sur séries homogènes ; gain nul sur phrases isolées hétérogènes."
14,"Rapidité d'usage (raccourcis, curseur collant, opérations par lot, flux d'annotation)",Palette de commandes ⌘K (découvrabilité + exécution unifiée),7,,"Résout en une brique la dispersion (5 endroits pour valider) ET la découvrabilité (tout est listé/cherchable); Pont d'apprentissage : l'utilisateur découvre les raccourcis en exécutant, puis migre vers le geste direct; Extensible sans surcharger la toolbar déjà au bord du 'mur de boutons'; Accessible nativement (champ texte + liste navigable au clavier, focus visible AA)","Pour le geste hyper-fréquent (valider+suivant), ouvrir ⌘K puis filtrer reste plus lent qu'une touche dédiée; Demande un composant nouveau (overlay, fuzzy-search, gestion focus) — effort > variantes 1/2; Risque de devenir une béquille si les raccourcis directs ne sont pas mis en avant dans la palette","Transforme la recherche d'une action rare (adopter un juge, pré-remplir) de 'chercher dans 3 panneaux' à 'taper 3 lettres'. Réduit la charge de mémorisation globale, mais ajoute une étape sur le geste répétitif si utilisé comme voie principale."
